file	lines	last_commit_date	days_since_change	has_oas_import	ref_count	category	suggested_action	reason
room_walph.ml	330	2026-03-17	0	no	0	infrastructure	active	recently_modified
room_worktree.ml	297	2026-03-18	0	no	0	infrastructure	active	recently_modified
room.ml	874	2026-03-18	0	no	134	infrastructure	active	recently_modified
run_eio.ml	242	2026-03-18	0	no	2	infrastructure	active	recently_modified
run_log_eio.ml	252	2026-03-18	0	no	2	infrastructure	active	recently_modified
runtime_params.ml	206	2026-03-18	0	no	7	infrastructure	active	recently_modified
safe_ops.ml	197	2026-03-17	0	no	89	infrastructure	active	recently_modified
safe_parse.ml	170	2026-03-16	1	no	7	infrastructure	active	recently_modified
sentinel.ml	888	2026-03-18	0	yes	4	lifecycle	active	oas_integrated
server_auth.ml	391	2026-03-16	1	no	0	server	active	recently_modified
server_checkpoint.ml	249	2026-03-18	0	no	0	server	active	recently_modified
server_command_plane_http_help.ml	440	2026-03-13	4	no	1	server	active	recently_modified
server_command_plane_http_mutations.ml	90	2026-03-13	4	no	1	server	active	recently_modified
server_command_plane_http_stream.ml	209	2026-03-17	0	no	1	server	active	recently_modified
server_command_plane_http_support.ml	217	2026-03-18	0	no	2	server	active	recently_modified
server_command_plane_http.ml	56	2026-03-13	4	no	2	server	active	recently_modified
server_dashboard_http_core.ml	560	2026-03-18	0	no	0	server	active	recently_modified
server_dashboard_http.ml	576	2026-03-18	0	no	1	server	active	recently_modified
server_h2_gateway_helpers.ml	65	2026-03-16	1	no	0	server	active	recently_modified
server_h2_gateway_routes_cp.ml	582	2026-03-17	0	no	1	server	active	recently_modified
server_h2_gateway_routes_extra.ml	564	2026-03-16	1	no	1	server	active	recently_modified
server_h2_gateway.ml	781	2026-03-17	0	no	0	server	active	recently_modified
server_mcp_transport_http_headers.ml	204	2026-03-13	4	no	4	server	active	recently_modified
server_mcp_transport_http_mcp_handlers.ml	405	2026-03-18	0	no	0	server	active	recently_modified
server_mcp_transport_http_protocol.ml	114	2026-03-18	0	no	0	server	active	recently_modified
server_mcp_transport_http_session.ml	209	2026-03-18	0	no	3	server	active	recently_modified
server_mcp_transport_http_sse.ml	144	2026-03-16	1	no	1	server	active	recently_modified
server_mcp_transport_http_types.ml	11	2026-03-13	4	no	3	types	active	recently_modified
server_mcp_transport_http.ml	842	2026-03-18	0	no	3	server	active	recently_modified
server_routes_http_common.ml	404	2026-03-18	0	no	0	server	active	recently_modified
server_routes_http_keeper_stream.ml	495	2026-03-18	0	no	0	server	active	recently_modified
server_routes_http_pages.ml	336	2026-03-16	1	no	0	server	active	recently_modified
server_routes_http_routes_command_plane_read.ml	146	2026-03-13	4	no	1	server	active	recently_modified
server_routes_http_routes_command_plane_write.ml	423	2026-03-13	4	no	1	server	active	recently_modified
server_routes_http_routes_dashboard.ml	238	2026-03-18	0	no	1	server	active	recently_modified
server_routes_http_routes_frontend.ml	130	2026-03-15	2	no	1	server	active	recently_modified
server_routes_http_routes_room.ml	161	2026-03-13	4	no	1	server	active	recently_modified
server_routes_http_routes_social.ml	372	2026-03-18	0	no	1	server	active	recently_modified
server_routes_http_routes_trpg.ml	373	2026-03-13	4	no	1	server	active	recently_modified
server_routes_http_runtime.ml	160	2026-03-13	4	no	0	server	active	recently_modified
server_routes_http.ml	18	2026-03-13	4	no	0	server	active	recently_modified
server_runtime_bootstrap.ml	371	2026-03-18	0	yes	0	server	active	oas_integrated
server_social_http.ml	192	2026-03-16	1	no	1	server	active	recently_modified
server_trpg_rest_actor.ml	718	2026-03-17	0	no	0	server	active	recently_modified
server_trpg_rest_core.ml	441	2026-03-16	1	no	0	server	active	recently_modified
server_trpg_rest_models.ml	468	2026-03-17	0	no	0	server	active	recently_modified
server_trpg_rest_runtime.ml	387	2026-03-17	0	no	0	server	active	recently_modified
server_trpg_rest_views.ml	619	2026-03-16	1	no	0	server	active	recently_modified
server_trpg_rest.ml	3	2026-03-16	1	no	0	server	active	recently_modified
server_tts_proxy.ml	22	2026-03-13	4	no	0	server	active	recently_modified
server_utils.ml	119	2026-03-13	4	no	2	server	active	recently_modified
session.ml	591	2026-03-16	1	no	19	infrastructure	active	recently_modified
shutdown_hooks.ml	26	2026-03-16	1	no	1	infrastructure	active	recently_modified
shutdown.ml	185	2026-03-17	0	no	0	infrastructure	active	recently_modified
social_motion.ml	712	2026-03-18	0	no	1	infrastructure	active	recently_modified
social_runtime.ml	430	2026-03-16	1	no	5	infrastructure	active	recently_modified
social.ml	396	2026-03-18	0	no	2	infrastructure	active	recently_modified
spawn_eio.ml	341	2026-03-18	0	yes	11	infrastructure	active	oas_integrated
spawn_registry.ml	438	2026-03-18	0	no	0	infrastructure	active	recently_modified
spawn.ml	482	2026-03-18	0	no	15	infrastructure	active	recently_modified
sse_room_filter.ml	63	2026-03-16	1	no	1	infrastructure	active	recently_modified
sse.ml	250	2026-03-16	1	no	24	infrastructure	active	recently_modified
streamable_http.ml	223	2026-03-13	4	no	1	infrastructure	active	recently_modified
subscriptions.ml	292	2026-03-16	1	no	4	infrastructure	active	recently_modified
subsystem.ml	8	2026-03-16	1	no	0	infrastructure	active	recently_modified
succession_oas.ml	687	2026-03-18	0	yes	2	oas_bridge	active	oas_integrated
supervisor.ml	167	2026-03-17	0	no	0	infrastructure	active	recently_modified
swarm_behaviors_eio.ml	226	2026-03-13	4	no	0	infrastructure	active	recently_modified
swarm_checkpoint.ml	216	2026-03-16	1	no	1	infrastructure	active	recently_modified
swarm_eio.ml	617	2026-03-13	4	no	1	infrastructure	active	recently_modified
swarm_goal_loop.ml	347	2026-03-16	1	no	1	infrastructure	active	recently_modified
swarm_status_build.ml	310	2026-03-18	0	no	0	infrastructure	active	recently_modified
swarm_status_classify.ml	372	2026-03-13	4	no	0	infrastructure	active	recently_modified
swarm_status_inputs.ml	75	2026-03-13	4	no	0	infrastructure	active	recently_modified
swarm_status_json.ml	377	2026-03-13	4	no	0	infrastructure	active	recently_modified
swarm_status_lanes.ml	198	2026-03-13	4	no	0	infrastructure	active	recently_modified
swarm_status_parse.ml	103	2026-03-13	4	no	0	infrastructure	active	recently_modified
swarm_status_types.ml	126	2026-03-13	4	no	0	types	active	recently_modified
swarm_status.ml	9	2026-03-13	4	no	6	infrastructure	active	recently_modified
task_dispatch.ml	183	2026-03-18	0	no	1	infrastructure	active	recently_modified
task_pg.ml	341	2026-03-17	0	no	1	infrastructure	active	recently_modified
team_context.ml	249	2026-03-18	0	yes	3	infrastructure	active	oas_integrated
team_session_engine_eio.ml	723	2026-03-17	0	no	10	team_session	active	recently_modified
team_session_engine_helpers.ml	564	2026-03-18	0	no	0	team_session	active	recently_modified
team_session_engine_policy.ml	426	2026-03-18	0	no	0	team_session	active	recently_modified
team_session_engine_status.ml	560	2026-03-18	0	no	0	team_session	active	recently_modified
team_session_report_core.ml	865	2026-03-16	1	no	0	team_session	active	recently_modified
team_session_report_proof_helpers.ml	524	2026-03-17	0	no	0	team_session	active	recently_modified
team_session_report_proof.ml	419	2026-03-17	0	no	1	team_session	active	recently_modified
team_session_report.ml	3	2026-03-16	1	no	2	team_session	active	recently_modified
team_session_store.ml	304	2026-03-18	0	no	28	team_session	active	recently_modified
team_session_types_enums.ml	465	2026-03-17	0	no	0	team_session	active	recently_modified
team_session_types.ml	652	2026-03-17	0	no	36	team_session	active	recently_modified
telemetry_eio.ml	357	2026-03-18	0	no	10	infrastructure	active	recently_modified
tempo.ml	154	2026-03-18	0	no	7	infrastructure	active	recently_modified
tool_a2a.ml	119	2026-03-18	0	no	2	tool	active	recently_modified
tool_agent_timeline.ml	386	2026-03-17	0	no	3	tool	active	recently_modified
tool_agent.ml	301	2026-03-18	0	no	2	tool	active	recently_modified
tool_args.ml	58	2026-03-18	0	no	1	tool	active	recently_modified
tool_async_spawn.ml	185	2026-03-18	0	no	3	tool	active	recently_modified
tool_audit.ml	376	2026-03-18	0	no	4	tool	active	recently_modified
tool_auth.ml	128	2026-03-18	0	no	2	tool	active	recently_modified
tool_autoresearch.ml	892	2026-03-17	0	no	3	tool	active	recently_modified
tool_board.ml	613	2026-03-18	0	no	15	tool	active	recently_modified
tool_bridge.ml	94	2026-03-18	0	yes	2	tool	active	oas_integrated
tool_cache.ml	200	2026-03-18	0	no	3	tool	active	recently_modified
tool_catalog.ml	306	2026-03-18	0	no	10	tool	active	recently_modified
tool_code_swarm.ml	237	2026-03-17	0	no	2	tool	active	recently_modified
tool_code.ml	382	2026-03-18	0	no	3	tool	active	recently_modified
tool_command_plane_chain_common.ml	201	2026-03-18	0	no	0	tool	active	recently_modified
tool_command_plane_chain_launch.ml	463	2026-03-13	4	no	0	tool	active	recently_modified
tool_command_plane_chain_query.ml	483	2026-03-13	4	no	1	tool	active	recently_modified
tool_command_plane_dispatch.ml	47	2026-03-13	4	no	1	tool	active	recently_modified
tool_command_plane_mutations.ml	76	2026-03-13	4	no	0	tool	active	recently_modified
tool_command_plane_schemas_01.ml	439	2026-03-18	0	no	1	tool	active	recently_modified
tool_command_plane_schemas_02.ml	70	2026-03-18	0	no	1	tool	active	recently_modified
tool_command_plane_support.ml	359	2026-03-17	0	no	2	tool	active	recently_modified
tool_command_plane_swarm_live.ml	200	2026-03-13	4	no	1	tool	active	recently_modified
tool_command_plane.ml	21	2026-03-13	4	no	7	tool	active	recently_modified
tool_compact.ml	187	2026-03-18	0	yes	4	tool	active	oas_integrated
tool_control.ml	200	2026-03-18	0	no	2	tool	active	recently_modified
tool_cost.ml	104	2026-03-18	0	no	3	tool	active	recently_modified
tool_council_json.ml	143	2026-03-18	0	no	0	tool	active	recently_modified
tool_council_schemas.ml	227	2026-03-18	0	no	1	tool	active	recently_modified
tool_council.ml	1071	2026-03-18	0	no	5	tool	active	recently_modified
tool_dispatch.ml	180	2026-03-18	0	no	11	tool	active	recently_modified
tool_encryption.ml	152	2026-03-18	0	no	3	tool	active	recently_modified
tool_gardener.ml	436	2026-03-18	0	no	3	tool	active	recently_modified
tool_goals.ml	661	2026-03-18	0	no	5	tool	active	recently_modified
tool_handover.ml	260	2026-03-18	0	no	3	tool	active	recently_modified
tool_harness_health.ml	86	2026-03-16	1	no	0	tool	active	recently_modified
tool_hat.ml	83	2026-03-18	0	no	3	tool	active	recently_modified
tool_heartbeat.ml	203	2026-03-18	0	no	3	tool	active	recently_modified
tool_help_registry.ml	475	2026-03-15	2	no	6	tool	active	recently_modified
tool_inline_dispatch_episode.ml	153	2026-03-18	0	no	1	tool	active	recently_modified
tool_inline_dispatch_extra.ml	442	2026-03-18	0	no	1	tool	active	recently_modified
tool_inline_dispatch.ml	825	2026-03-18	0	no	1	tool	active	recently_modified
tool_keeper.ml	407	2026-03-18	0	no	9	tool	active	recently_modified
tool_library.ml	427	2026-03-18	0	no	3	tool	active	recently_modified
tool_llm_catalog.ml	150	2026-03-18	0	no	3	tool	active	recently_modified
tool_local_runtime_core.ml	219	2026-03-18	0	no	0	tool	active	recently_modified
tool_local_runtime.ml	847	2026-03-18	0	no	7	tool	active	recently_modified
tool_lodge_agents_cache.ml	417	2026-03-18	0	no	1	tool	active	recently_modified
tool_lodge_agents_ops.ml	416	2026-03-17	0	no	1	tool	active	recently_modified
tool_lodge_autonomous.ml	173	2026-03-18	0	no	1	tool	active	recently_modified
tool_lodge_config_http.ml	308	2026-03-18	0	no	1	tool	active	recently_modified
tool_lodge_discussion_defs.ml	115	2026-03-18	0	no	1	tool	active	recently_modified
tool_lodge_llm_cycle.ml	245	2026-03-18	0	no	0	tool	active	recently_modified
tool_lodge_orchestrate.ml	197	2026-03-13	4	no	1	tool	active	recently_modified
tool_lodge_project.ml	303	2026-03-18	0	no	1	tool	active	recently_modified
tool_lodge_react_core.ml	394	2026-03-17	0	no	1	tool	active	recently_modified
tool_lodge.ml	53	2026-03-13	4	no	4	tool	active	recently_modified
tool_mdal_schemas.ml	219	2026-03-18	0	no	0	tool	active	recently_modified
tool_mdal.ml	887	2026-03-17	0	no	4	tool	active	recently_modified
tool_metrics.ml	90	2026-03-16	1	no	1	tool	active	recently_modified
tool_misc.ml	834	2026-03-18	0	no	3	tool	active	recently_modified
tool_mitosis.ml	1081	2026-03-18	0	no	4	tool	active	recently_modified
tool_notifications.ml	126	2026-03-13	4	no	2	tool	active	recently_modified
tool_operator.ml	310	2026-03-13	4	no	5	tool	active	recently_modified
tool_permissions.ml	57	2026-03-16	1	no	1	tool	active	recently_modified
tool_perpetual.ml	308	2026-03-18	0	yes	4	tool	active	oas_integrated
tool_plan.ml	191	2026-03-18	0	no	2	tool	active	recently_modified
tool_portal.ml	47	2026-03-16	1	no	2	tool	active	recently_modified
tool_protocol_game_view_handlers.ml	540	2026-03-17	0	no	0	tool	active	recently_modified
tool_protocol_game_view_utils.ml	408	2026-03-18	0	no	0	tool	active	recently_modified
tool_protocol_game_view.ml	504	2026-03-18	0	no	3	tool	active	recently_modified
tool_rate_limit.ml	100	2026-03-18	0	no	3	tool	active	recently_modified
tool_registry.ml	170	2026-03-17	0	no	5	tool	active	recently_modified
tool_relay.ml	295	2026-03-18	0	no	3	tool	active	recently_modified
tool_result.ml	34	2026-03-16	1	no	4	tool	active	recently_modified
tool_room.ml	295	2026-03-17	0	no	2	tool	active	recently_modified
tool_run.ml	188	2026-03-18	0	no	3	tool	active	recently_modified
tool_schemas_a2a.ml	212	2026-03-18	0	no	3	tool	active	recently_modified
tool_schemas_agent.ml	395	2026-03-18	0	no	2	tool	active	recently_modified
tool_schemas_auth.ml	107	2026-03-18	0	no	2	tool	active	recently_modified
tool_schemas_control.ml	118	2026-03-18	0	no	3	tool	active	recently_modified
tool_schemas_inline.ml	902	2026-03-18	0	no	3	tool	active	recently_modified
tool_schemas_misc.ml	234	2026-03-18	0	no	3	tool	active	recently_modified
tool_schemas_plan.ml	178	2026-03-18	0	no	2	tool	active	recently_modified
tool_schemas_portal.ml	84	2026-03-18	0	no	2	tool	active	recently_modified
tool_schemas_room_core.ml	86	2026-03-18	0	no	2	tool	active	recently_modified
tool_schemas_room_extra.ml	97	2026-03-18	0	no	2	tool	active	recently_modified
tool_schemas_room.ml	2	2026-03-17	0	no	1	tool	active	recently_modified
tool_schemas_worktree.ml	59	2026-03-18	0	no	2	tool	active	recently_modified
tool_shard.ml	508	2026-03-18	0	no	3	tool	active	recently_modified
tool_social.ml	366	2026-03-18	0	no	3	tool	active	recently_modified
tool_suspend.ml	220	2026-03-18	0	no	3	tool	active	recently_modified
tool_tag_init.ml	190	2026-03-18	0	no	1	tool	active	recently_modified
tool_task.ml	629	2026-03-18	0	no	3	tool	active	recently_modified
tool_team_session_handlers.ml	574	2026-03-18	0	yes	0	tool	active	oas_integrated
tool_team_session_routing_workers.ml	498	2026-03-16	1	no	0	tool	active	recently_modified
tool_team_session_routing.ml	751	2026-03-18	0	yes	0	tool	active	oas_integrated
tool_team_session_schemas.ml	686	2026-03-18	0	no	0	tool	active	recently_modified
tool_team_session_step_exec.ml	449	2026-03-18	0	yes	1	tool	active	oas_integrated
tool_team_session_step_types.ml	148	2026-03-18	0	yes	0	tool	active	oas_integrated
tool_team_session_step.ml	857	2026-03-18	0	no	3	tool	active	recently_modified
tool_team_session_support.ml	506	2026-03-17	0	yes	0	tool	active	oas_integrated
tool_team_session.ml	10	2026-03-16	1	no	6	tool	active	recently_modified
tool_tempo.ml	153	2026-03-18	0	no	3	tool	active	recently_modified
tool_trace_hooks.ml	73	2026-03-16	1	no	0	tool	active	recently_modified
tool_trpg.ml	149	2026-03-16	1	no	6	tool	active	recently_modified
tool_unified.ml	93	2026-03-18	0	no	2	tool	active	recently_modified
tool_verification.ml	121	2026-03-13	4	no	1	tool	active	recently_modified
tool_voice.ml	269	2026-03-18	0	no	4	tool	active	recently_modified
tool_vote.ml	190	2026-03-18	0	yes	3	tool	active	oas_integrated
tool_walph.ml	211	2026-03-18	0	no	3	tool	active	recently_modified
tool_worktree.ml	39	2026-03-16	1	no	2	tool	active	recently_modified
tools.ml	59	2026-03-18	0	no	1	infrastructure	active	recently_modified
trace.ml	156	2026-03-13	4	no	2	infrastructure	active	recently_modified
trajectory.ml	297	2026-03-18	0	no	6	infrastructure	active	recently_modified
transport_grpc_next.ml	689	2026-03-18	0	no	0	infrastructure	active	recently_modified
transport.ml	666	2026-03-13	4	no	4	infrastructure	active	recently_modified
trpg_action.ml	638	2026-03-16	1	no	0	trpg	active	recently_modified
trpg_actor_match.ml	190	2026-03-13	4	no	1	trpg	active	recently_modified
trpg_bdi.ml	258	2026-03-17	0	no	2	trpg	active	recently_modified
trpg_bestiary.ml	724	2026-03-16	1	no	0	trpg	active	recently_modified
trpg_dm_intent.ml	389	2026-03-18	0	no	1	trpg	active	recently_modified
trpg_engine_event.ml	172	2026-03-13	4	no	29	trpg	active	recently_modified
trpg_engine_replay.ml	18	2026-03-16	1	no	2	trpg	active	recently_modified
trpg_engine_state_machine.ml	63	2026-03-13	4	no	0	trpg	active	recently_modified
trpg_engine_store_sqlite.ml	304	2026-03-16	1	no	7	trpg	active	recently_modified
trpg_engine_store.ml	150	2026-03-18	0	no	3	trpg	active	recently_modified
trpg_engine_types.ml	108	2026-03-13	4	no	6	types	active	recently_modified
trpg_handlers_actors.ml	565	2026-03-16	1	no	0	trpg	active	recently_modified
trpg_handlers_core.ml	665	2026-03-16	1	no	0	trpg	active	recently_modified
trpg_handlers_session.ml	701	2026-03-16	1	no	0	trpg	active	recently_modified
trpg_handlers.ml	7	2026-03-16	1	no	0	trpg	active	recently_modified
trpg_harness.ml	277	2026-03-18	0	yes	1	trpg	active	oas_integrated
trpg_preset_store.ml	589	2026-03-17	0	no	5	trpg	active	recently_modified
trpg_round_fallback.ml	639	2026-03-16	1	no	0	trpg	active	recently_modified
trpg_round_keeper_parse.ml	285	2026-03-16	1	no	0	trpg	active	recently_modified
trpg_round_prompt.ml	799	2026-03-16	1	no	2	trpg	active	recently_modified
trpg_round_run_ctx.ml	45	2026-03-17	0	no	1	trpg	active	recently_modified
trpg_round_run_handler.ml	891	2026-03-17	0	no	1	trpg	active	recently_modified
trpg_round_run_process.ml	862	2026-03-18	0	no	1	trpg	active	recently_modified
trpg_round.ml	507	2026-03-16	1	no	1	trpg	active	recently_modified
trpg_rule_dnd5e_lite_core.ml	603	2026-03-17	0	no	0	trpg	active	recently_modified
trpg_rule_dnd5e_lite.ml	418	2026-03-17	0	no	3	trpg	active	recently_modified
trpg_rule.ml	6	2026-03-13	4	no	3	trpg	active	recently_modified
trpg_schema.ml	570	2026-03-13	4	no	1	trpg	active	recently_modified
trpg_slot.ml	146	2026-03-13	4	no	0	trpg	active	recently_modified
trpg_store.ml	97	2026-03-17	0	no	9	trpg	active	recently_modified
trpg_types_canon.ml	371	2026-03-16	1	no	0	types	active	recently_modified
trpg_types_world.ml	522	2026-03-16	1	no	0	types	active	recently_modified
trpg_types.ml	801	2026-03-17	0	no	1	types	active	recently_modified
trpg_visibility.ml	96	2026-03-13	4	no	1	trpg	active	recently_modified
trpg_world_projection.ml	133	2026-03-13	4	no	3	trpg	active	recently_modified
types_auth.ml	356	2026-03-17	0	no	0	infrastructure	active	recently_modified
types_core.ml	645	2026-03-17	0	no	0	infrastructure	active	recently_modified
types.ml	3	2026-03-17	0	no	188	infrastructure	active	recently_modified
udp_socket_eio.ml	78	2026-03-13	4	no	0	infrastructure	active	recently_modified
validation.ml	156	2026-03-16	1	no	1	infrastructure	active	recently_modified
verification.ml	376	2026-03-18	0	no	0	infrastructure	active	recently_modified
verifier_oas.ml	290	2026-03-18	0	yes	5	oas_bridge	active	oas_integrated
version.ml	6	2026-03-13	4	no	10	infrastructure	active	recently_modified
voice_bridge_eio_core.ml	261	2026-03-17	0	no	0	voice	active	recently_modified
voice_bridge_eio.ml	862	2026-03-18	0	no	0	voice	active	recently_modified
voice_bridge.ml	2	2026-03-13	4	no	6	voice	active	recently_modified
voice_config.ml	424	2026-03-17	0	no	3	voice	active	recently_modified
voice_session_manager.ml	251	2026-03-18	0	no	0	voice	active	recently_modified
voice_stream.ml	419	2026-03-16	1	no	0	voice	active	recently_modified
void.ml	351	2026-03-13	4	no	0	infrastructure	active	recently_modified
web_dashboard.ml	58	2026-03-18	0	no	2	infrastructure	active	recently_modified
worker_oas.ml	401	2026-03-18	0	yes	0	oas_bridge	active	oas_integrated
workflow_guide.ml	455	2026-03-17	0	no	3	infrastructure	active	recently_modified
