file	lines	last_commit_date	days_since_change	has_oas_import	ref_count	category	suggested_action	reason
chain_registry.ml	315	2026-03-17	0	no	2	infrastructure	active	recently_modified
chain_retry.ml	220	2026-03-17	0	no	2	infrastructure	active	recently_modified
chain_run_store.ml	377	2026-03-18	0	no	3	infrastructure	active	recently_modified
chain_spawn_registry.ml	230	2026-03-13	4	no	1	infrastructure	active	recently_modified
chain_stats.ml	569	2026-03-17	0	no	1	infrastructure	active	recently_modified
chain_telemetry.ml	444	2026-03-18	0	no	3	infrastructure	active	recently_modified
chain_trace_types.ml	103	2026-03-13	4	no	1	types	active	recently_modified
chain_types.ml	680	2026-03-13	4	no	22	types	active	recently_modified
chain_utils.ml	113	2026-03-13	4	no	4	infrastructure	active	recently_modified
checkpoint_store.ml	235	2026-03-18	0	no	1	infrastructure	active	recently_modified
checkpoint_types.ml	119	2026-03-13	4	no	0	types	active	recently_modified
circuit_breaker.ml	325	2026-03-17	0	no	3	infrastructure	active	recently_modified
code_swarm_plan.ml	648	2026-03-18	0	yes	1	infrastructure	active	oas_integrated
command_plane_orchestra.ml	806	2026-03-13	4	no	1	infrastructure	active	recently_modified
command_plane_v2.ml	29	2026-03-16	1	no	22	infrastructure	active	recently_modified
common.ml	43	2026-03-16	1	no	9	infrastructure	active	recently_modified
compaction_types.ml	19	2026-03-18	0	no	3	types	active	recently_modified
compression_dict.ml	76	2026-03-16	1	no	2	infrastructure	active	recently_modified
config.ml	221	2026-03-18	0	no	16	config	active	recently_modified
context_compact_oas.ml	279	2026-03-18	0	yes	2	context	active	oas_integrated
context_manager.ml	446	2026-03-18	0	yes	22	context	active	oas_integrated
context_router.ml	352	2026-03-18	0	no	0	context	active	recently_modified
context_scoring.ml	71	2026-03-18	0	yes	2	context	active	oas_integrated
cp_cleanup.ml	266	2026-03-16	1	no	4	command_plane	active	recently_modified
cp_io.ml	162	2026-03-18	0	no	0	command_plane	active	recently_modified
cp_lifecycle_intents.ml	387	2026-03-16	1	no	0	command_plane	active	recently_modified
cp_lifecycle_policy.ml	838	2026-03-17	0	no	0	command_plane	active	recently_modified
cp_lifecycle_search.ml	782	2026-03-17	0	no	0	command_plane	active	recently_modified
cp_lifecycle_swarm_live_core.ml	268	2026-03-17	0	no	0	command_plane	active	recently_modified
cp_lifecycle_swarm_live.ml	861	2026-03-18	0	no	0	command_plane	active	recently_modified
cp_lifecycle.ml	635	2026-03-17	0	no	1	command_plane	active	recently_modified
cp_microarch_summary.ml	292	2026-03-18	0	no	1	command_plane	active	recently_modified
cp_paths.ml	97	2026-03-13	4	no	3	command_plane	active	recently_modified
cp_search_fabric.ml	619	2026-03-18	0	no	7	command_plane	active	recently_modified
cp_serde.ml	747	2026-03-13	4	no	0	command_plane	active	recently_modified
cp_snapshot_core.ml	620	2026-03-17	0	no	0	command_plane	active	recently_modified
cp_snapshot_summaries.ml	704	2026-03-18	0	no	0	command_plane	active	recently_modified
cp_snapshot.ml	1	2026-03-16	1	no	2	command_plane	active	recently_modified
cp_types.ml	195	2026-03-16	1	no	0	types	active	recently_modified
cp_unit.ml	883	2026-03-17	0	no	0	command_plane	active	recently_modified
credits_dashboard.ml	529	2026-03-13	4	no	2	infrastructure	active	recently_modified
dashboard_agent_relations.ml	100	2026-03-18	0	no	2	dashboard	active	recently_modified
dashboard_attention.ml	212	2026-03-17	0	no	1	dashboard	active	recently_modified
dashboard_cache.ml	346	2026-03-17	0	no	3	dashboard	active	recently_modified
dashboard_execution_builders.ml	866	2026-03-18	0	no	0	dashboard	active	recently_modified
dashboard_execution_fixture.ml	653	2026-03-18	0	no	0	dashboard	active	recently_modified
dashboard_execution_helpers.ml	276	2026-03-17	0	no	0	dashboard	active	recently_modified
dashboard_execution.ml	278	2026-03-17	0	no	1	dashboard	active	recently_modified
dashboard_governance_judge.ml	364	2026-03-18	0	no	1	dashboard	active	recently_modified
dashboard_governance.ml	552	2026-03-16	1	no	4	dashboard	active	recently_modified
dashboard_http_helpers.ml	132	2026-03-17	0	no	0	dashboard	active	recently_modified
dashboard_http_keeper_detail.ml	777	2026-03-16	1	no	0	dashboard	active	recently_modified
dashboard_http_keeper_metrics.ml	464	2026-03-16	1	no	0	dashboard	active	recently_modified
dashboard_http_keeper.ml	454	2026-03-18	0	no	0	dashboard	active	recently_modified
dashboard_http_mdal.ml	213	2026-03-18	0	no	0	dashboard	active	recently_modified
dashboard_http_monitoring.ml	321	2026-03-16	1	no	0	dashboard	active	recently_modified
dashboard_labels.ml	171	2026-03-17	0	no	2	dashboard	active	recently_modified
dashboard_mission_assembly.ml	888	2026-03-18	0	no	1	dashboard	active	recently_modified
dashboard_mission_briefing.ml	865	2026-03-17	0	no	1	dashboard	active	recently_modified
dashboard_mission.ml	828	2026-03-16	1	no	2	dashboard	active	recently_modified
dashboard_operator_judge.ml	363	2026-03-18	0	no	2	dashboard	active	recently_modified
dashboard_proof_helpers.ml	84	2026-03-17	0	no	0	dashboard	active	recently_modified
dashboard_proof.ml	906	2026-03-18	0	no	2	dashboard	active	recently_modified
dashboard_semantics.ml	528	2026-03-16	1	no	1	dashboard	active	recently_modified
dashboard_utils.ml	98	2026-03-16	1	no	14	dashboard	active	recently_modified
dashboard.ml	601	2026-03-17	0	no	5	infrastructure	active	recently_modified
debate.ml	369	2026-03-18	0	no	0	infrastructure	active	recently_modified
drift_guard.ml	300	2026-03-18	0	no	3	infrastructure	active	recently_modified
eio_context.ml	110	2026-03-17	0	no	24	infrastructure	active	recently_modified
encryption.ml	213	2026-03-18	0	no	1	infrastructure	active	recently_modified
env_config_core.ml	154	2026-03-13	4	no	2	config	active	recently_modified
env_config_governance.ml	324	2026-03-17	0	no	12	config	active	recently_modified
env_config_keeper.ml	225	2026-03-18	0	no	1	config	active	recently_modified
env_config_runtime.ml	298	2026-03-18	0	no	15	config	active	recently_modified
env_config.ml	69	2026-03-16	1	no	77	config	active	recently_modified
error.ml	166	2026-03-13	4	no	9	infrastructure	active	recently_modified
eval_gate.ml	341	2026-03-13	4	no	4	infrastructure	active	recently_modified
eval_harness.ml	495	2026-03-18	0	no	1	infrastructure	active	recently_modified
federation_types.ml	325	2026-03-18	0	no	0	types	active	recently_modified
federation.ml	745	2026-03-18	0	no	0	infrastructure	active	recently_modified
file_lock_eio.ml	60	2026-03-17	0	no	1	infrastructure	active	recently_modified
game_view_state.ml	513	2026-03-18	0	no	3	infrastructure	active	recently_modified
gardener_decisions.ml	644	2026-03-18	0	no	0	infrastructure	active	recently_modified
gardener_health.ml	285	2026-03-16	1	no	0	infrastructure	active	recently_modified
gardener_state.ml	202	2026-03-18	0	no	0	infrastructure	active	recently_modified
gardener_types.ml	411	2026-03-18	0	no	0	types	active	recently_modified
gardener.ml	654	2026-03-18	0	yes	6	infrastructure	active	oas_integrated
gcm_compat.ml	2	2026-03-13	4	no	0	infrastructure	active	recently_modified
generational_metrics.ml	338	2026-03-18	0	no	1	infrastructure	active	recently_modified
glm_pool.ml	316	2026-03-17	0	no	2	infrastructure	active	recently_modified
goal_guard.ml	43	2026-03-13	4	no	1	infrastructure	active	recently_modified
goal_orchestrator.ml	148	2026-03-13	4	no	2	infrastructure	active	recently_modified
goal_scheduler.ml	60	2026-03-13	4	no	1	infrastructure	active	recently_modified
goal_store.ml	399	2026-03-17	0	no	7	infrastructure	active	recently_modified
governance_registry.ml	235	2026-03-18	0	no	6	infrastructure	active	recently_modified
graphql_api.ml	709	2026-03-13	4	no	2	infrastructure	active	recently_modified
graphql_client.ml	191	2026-03-18	0	no	5	infrastructure	active	recently_modified
graphql_endpoint.ml	65	2026-03-13	4	no	2	infrastructure	active	recently_modified
guardian.ml	371	2026-03-18	0	yes	6	infrastructure	active	oas_integrated
handoff_quality.ml	53	2026-03-13	4	no	2	infrastructure	active	recently_modified
