file	lines	category	action	reason	has_oas	ref_count
team_session_store.ml	304	team_session	active	team_session	no	28
team_session_types_enums.ml	465	team_session	active	team_session	no	0
team_session_types.ml	652	team_session	active	team_session	no	36
telemetry_eio.ml	357	infrastructure	active	referenced_infra	no	10
tempo.ml	154	infrastructure	active	referenced_infra	no	7
tool_a2a.ml	119	tool	active	core	no	2
tool_agent_timeline.ml	386	tool	active	core	no	3
tool_agent.ml	301	tool	active	core	no	2
tool_args.ml	58	tool	active	core	no	1
tool_async_spawn.ml	185	tool	active	core	no	3
tool_audit.ml	376	tool	active	core	no	4
tool_auth.ml	128	tool	active	core	no	2
tool_autoresearch.ml	892	tool	active	core	no	3
tool_board.ml	613	tool	active	core	no	15
tool_bridge.ml	94	tool	active	core	yes	2
tool_cache.ml	200	tool	active	core	no	3
tool_catalog.ml	306	tool	active	core_dispatch	no	10
tool_code_swarm.ml	237	tool	active	core	no	2
tool_code.ml	382	tool	active	core	no	3
tool_command_plane_chain_common.ml	201	tool	archive	unreferenced_tool	no	0
tool_command_plane_chain_launch.ml	463	tool	archive	unreferenced_tool	no	0
tool_command_plane_chain_query.ml	483	tool	active	core	no	1
tool_command_plane_dispatch.ml	47	tool	active	core	no	1
tool_command_plane_mutations.ml	76	tool	archive	unreferenced_tool	no	0
tool_command_plane_schemas_01.ml	439	tool	archive	schema_codegen_candidate	no	1
tool_command_plane_schemas_02.ml	70	tool	archive	schema_codegen_candidate	no	1
tool_command_plane_support.ml	359	tool	active	core	no	2
tool_command_plane_swarm_live.ml	200	tool	active	core	no	1
tool_command_plane.ml	21	tool	active	core	no	7
tool_compact.ml	187	tool	active	core	yes	4
tool_control.ml	200	tool	active	core	no	2
tool_cost.ml	104	tool	active	core	no	3
tool_council_json.ml	143	tool	archive	unreferenced_tool	no	0
tool_council_schemas.ml	227	tool	active	core	no	1
tool_council.ml	1071	tool	active	core	no	5
tool_dispatch.ml	180	tool	active	core_dispatch	no	11
tool_encryption.ml	152	tool	active	core	no	3
tool_gardener.ml	436	tool	active	core	no	3
tool_goals.ml	661	tool	active	core	no	5
tool_handover.ml	260	tool	active	core	no	3
tool_harness_health.ml	86	tool	archive	unreferenced_tool	no	0
tool_hat.ml	83	tool	active	core	no	3
tool_heartbeat.ml	203	tool	active	core	no	3
tool_help_registry.ml	475	tool	active	core	no	6
tool_inline_dispatch_episode.ml	153	tool	active	core	no	1
tool_inline_dispatch_extra.ml	442	tool	active	core_dispatch	no	1
tool_inline_dispatch.ml	825	tool	active	core_dispatch	no	1
tool_keeper.ml	407	tool	active	core	no	9
tool_library.ml	427	tool	active	core	no	3
tool_llm_catalog.ml	150	tool	active	core	no	3
tool_local_runtime_core.ml	219	tool	archive	unreferenced_tool	no	0
tool_local_runtime.ml	847	tool	active	core	no	7
tool_lodge_agents_cache.ml	417	tool	active	core	no	1
tool_lodge_agents_ops.ml	416	tool	active	core	no	1
tool_lodge_autonomous.ml	173	tool	active	core	no	1
tool_lodge_config_http.ml	308	tool	active	core	no	1
tool_lodge_discussion_defs.ml	115	tool	active	core	no	1
tool_lodge_llm_cycle.ml	245	tool	archive	unreferenced_tool	no	0
tool_lodge_orchestrate.ml	197	tool	active	core	no	1
tool_lodge_project.ml	303	tool	active	core	no	1
tool_lodge_react_core.ml	394	tool	active	core	no	1
tool_lodge.ml	53	tool	active	core	no	4
tool_mdal_schemas.ml	219	tool	archive	unreferenced_tool	no	0
tool_mdal.ml	887	tool	active	core	no	4
tool_metrics.ml	90	tool	active	core	no	1
tool_misc.ml	834	tool	active	core	no	3
tool_mitosis.ml	1081	tool	active	core	no	4
tool_notifications.ml	126	tool	active	core	no	2
tool_operator.ml	310	tool	active	core	no	5
tool_permissions.ml	57	tool	active	core	no	1
tool_perpetual.ml	308	tool	active	core	yes	4
tool_plan.ml	191	tool	active	core	no	2
tool_portal.ml	47	tool	active	core	no	2
tool_protocol_game_view_handlers.ml	540	tool	archive	low_ref_large_tool	no	0
tool_protocol_game_view_utils.ml	408	tool	archive	unreferenced_tool	no	0
tool_protocol_game_view.ml	504	tool	active	core	no	3
tool_rate_limit.ml	100	tool	active	core	no	3
tool_registry.ml	170	tool	active	core	no	5
tool_relay.ml	295	tool	active	core	no	3
tool_result.ml	34	tool	active	core	no	4
tool_room.ml	295	tool	active	core	no	2
tool_run.ml	188	tool	active	core	no	3
tool_schemas_a2a.ml	212	tool	archive	schema_codegen_candidate	no	3
tool_schemas_agent.ml	395	tool	archive	schema_codegen_candidate	no	2
tool_schemas_auth.ml	107	tool	archive	schema_codegen_candidate	no	2
tool_schemas_control.ml	118	tool	archive	schema_codegen_candidate	no	3
tool_schemas_inline.ml	902	tool	archive	schema_codegen_candidate	no	3
tool_schemas_misc.ml	234	tool	archive	schema_codegen_candidate	no	3
tool_schemas_plan.ml	178	tool	archive	schema_codegen_candidate	no	2
tool_schemas_portal.ml	84	tool	archive	schema_codegen_candidate	no	2
tool_schemas_room_core.ml	86	tool	archive	schema_codegen_candidate	no	2
tool_schemas_room_extra.ml	97	tool	archive	schema_codegen_candidate	no	2
tool_schemas_room.ml	2	tool	archive	schema_codegen_candidate	no	1
tool_schemas_worktree.ml	59	tool	archive	schema_codegen_candidate	no	2
tool_shard.ml	508	tool	active	core	no	3
tool_social.ml	366	tool	active	core	no	3
tool_suspend.ml	220	tool	active	core	no	3
tool_tag_init.ml	190	tool	active	core_dispatch	no	1
tool_task.ml	629	tool	active	core	no	3
tool_team_session_handlers.ml	574	tool	archive	low_ref_large_tool	yes	0
tool_team_session_routing_workers.ml	498	tool	archive	unreferenced_tool	no	0
tool_team_session_routing.ml	751	tool	archive	low_ref_large_tool	yes	0
tool_team_session_schemas.ml	686	tool	archive	low_ref_large_tool	no	0
tool_team_session_step_exec.ml	449	tool	active	core	yes	1
tool_team_session_step_types.ml	148	tool	archive	unreferenced_tool	yes	0
tool_team_session_step.ml	857	tool	active	core	no	3
tool_team_session_support.ml	506	tool	archive	low_ref_large_tool	yes	0
tool_team_session.ml	10	tool	active	core	no	6
tool_tempo.ml	153	tool	active	core	no	3
tool_trace_hooks.ml	73	tool	archive	unreferenced_tool	no	0
tool_trpg.ml	149	tool	active	core	no	6
tool_unified.ml	93	tool	active	core	no	2
tool_verification.ml	121	tool	active	core	no	1
tool_voice.ml	269	tool	active	core	no	4
tool_vote.ml	190	tool	active	core	yes	3
tool_walph.ml	211	tool	active	core	no	3
tool_worktree.ml	39	tool	active	core	no	2
tools.ml	59	infrastructure	active	referenced_infra	no	1
trace.ml	156	infrastructure	active	referenced_infra	no	2
trajectory.ml	297	infrastructure	active	referenced_infra	no	6
transport_grpc_next.ml	689	infrastructure	archive	unreferenced_infra	no	0
transport.ml	666	infrastructure	active	referenced_infra	no	4
trpg_action.ml	638	trpg	archive	experimental_trpg	no	0
trpg_actor_match.ml	190	trpg	archive	experimental_trpg	no	1
trpg_bdi.ml	258	trpg	archive	experimental_trpg	no	2
trpg_bestiary.ml	724	trpg	archive	experimental_trpg	no	0
trpg_dm_intent.ml	389	trpg	archive	experimental_trpg	no	1
trpg_engine_event.ml	172	trpg	active	high_dependency_29	no	29
trpg_engine_replay.ml	18	trpg	archive	experimental_trpg	no	2
trpg_engine_state_machine.ml	63	trpg	archive	experimental_trpg	no	0
trpg_engine_store_sqlite.ml	304	trpg	archive	experimental_trpg	no	7
trpg_engine_store.ml	150	trpg	archive	experimental_trpg	no	3
trpg_engine_types.ml	108	types	active	types_or_config	no	6
trpg_handlers_actors.ml	565	trpg	archive	experimental_trpg	no	0
trpg_handlers_core.ml	665	trpg	archive	experimental_trpg	no	0
trpg_handlers_session.ml	701	trpg	archive	experimental_trpg	no	0
trpg_handlers.ml	7	trpg	archive	experimental_trpg	no	0
trpg_harness.ml	277	trpg	active	oas_integrated	yes	1
trpg_preset_store.ml	589	trpg	archive	experimental_trpg	no	5
trpg_round_fallback.ml	639	trpg	archive	experimental_trpg	no	0
trpg_round_keeper_parse.ml	285	trpg	archive	experimental_trpg	no	0
trpg_round_prompt.ml	799	trpg	archive	experimental_trpg	no	2
trpg_round_run_ctx.ml	45	trpg	archive	experimental_trpg	no	1
trpg_round_run_handler.ml	891	trpg	archive	experimental_trpg	no	1
trpg_round_run_process.ml	862	trpg	archive	experimental_trpg	no	1
trpg_round.ml	507	trpg	archive	experimental_trpg	no	1
trpg_rule_dnd5e_lite_core.ml	603	trpg	archive	experimental_trpg	no	0
trpg_rule_dnd5e_lite.ml	418	trpg	archive	experimental_trpg	no	3
trpg_rule.ml	6	trpg	archive	experimental_trpg	no	3
trpg_schema.ml	570	trpg	archive	experimental_trpg	no	1
trpg_slot.ml	146	trpg	archive	experimental_trpg	no	0
trpg_store.ml	97	trpg	active	high_dependency_9	no	9
trpg_types_canon.ml	371	types	active	types_or_config	no	0
trpg_types_world.ml	522	types	active	types_or_config	no	0
trpg_types.ml	801	types	active	types_or_config	no	1
trpg_visibility.ml	96	trpg	archive	experimental_trpg	no	1
trpg_world_projection.ml	133	trpg	archive	experimental_trpg	no	3
types_auth.ml	356	infrastructure	archive	unreferenced_infra	no	0
types_core.ml	645	infrastructure	archive	unreferenced_infra	no	0
types.ml	3	infrastructure	active	referenced_infra	no	188
udp_socket_eio.ml	78	infrastructure	archive	unreferenced_infra	no	0
validation.ml	156	infrastructure	active	referenced_infra	no	1
verification.ml	376	infrastructure	archive	unreferenced_infra	no	0
verifier_oas.ml	290	oas_bridge	active	oas_bridge	yes	5
version.ml	6	infrastructure	active	referenced_infra	no	10
voice_bridge_eio_core.ml	261	voice	archive	experimental_voice	no	0
voice_bridge_eio.ml	862	voice	archive	experimental_voice	no	0
voice_bridge.ml	2	voice	archive	experimental_voice	no	6
voice_config.ml	424	voice	archive	experimental_voice	no	3
voice_session_manager.ml	251	voice	archive	experimental_voice	no	0
voice_stream.ml	419	voice	archive	experimental_voice	no	0
void.ml	351	infrastructure	archive	unreferenced_infra	no	0
web_dashboard.ml	58	infrastructure	active	referenced_infra	no	2
worker_oas.ml	401	oas_bridge	active	oas_bridge	yes	0
workflow_guide.ml	455	infrastructure	active	referenced_infra	no	3
