file	lines	category	action	reason	has_oas	ref_count
cp_cleanup.ml	266	command_plane	active	command_plane	no	4
cp_io.ml	162	command_plane	active	command_plane	no	0
cp_lifecycle_intents.ml	387	command_plane	active	command_plane	no	0
cp_lifecycle_policy.ml	838	command_plane	active	command_plane	no	0
cp_lifecycle_search.ml	782	command_plane	active	command_plane	no	0
cp_lifecycle_swarm_live_core.ml	268	command_plane	active	command_plane	no	0
cp_lifecycle_swarm_live.ml	861	command_plane	active	command_plane	no	0
cp_lifecycle.ml	635	command_plane	active	command_plane	no	1
cp_microarch_summary.ml	292	command_plane	active	command_plane	no	1
cp_paths.ml	97	command_plane	active	command_plane	no	3
cp_search_fabric.ml	619	command_plane	active	command_plane	no	7
cp_serde.ml	747	command_plane	active	command_plane	no	0
cp_snapshot_core.ml	620	command_plane	active	command_plane	no	0
cp_snapshot_summaries.ml	704	command_plane	active	command_plane	no	0
cp_snapshot.ml	1	command_plane	active	command_plane	no	2
cp_types.ml	195	types	active	types_or_config	no	0
cp_unit.ml	883	command_plane	active	command_plane	no	0
credits_dashboard.ml	529	infrastructure	active	referenced_infra	no	2
dashboard_agent_relations.ml	100	dashboard	active	dashboard_core	no	2
dashboard_attention.ml	212	dashboard	active	dashboard_core	no	1
dashboard_cache.ml	346	dashboard	active	dashboard_core	no	3
dashboard_execution_builders.ml	866	dashboard	archive	dashboard_builder	no	0
dashboard_execution_fixture.ml	653	dashboard	archive	dashboard_builder	no	0
dashboard_execution_helpers.ml	276	dashboard	active	dashboard_core	no	0
dashboard_execution.ml	278	dashboard	active	dashboard_core	no	1
dashboard_governance_judge.ml	364	dashboard	archive	dashboard_governance	no	1
dashboard_governance.ml	552	dashboard	archive	dashboard_governance	no	4
dashboard_http_helpers.ml	132	dashboard	active	dashboard_core	no	0
dashboard_http_keeper_detail.ml	777	dashboard	active	dashboard_core	no	0
dashboard_http_keeper_metrics.ml	464	dashboard	active	dashboard_core	no	0
dashboard_http_keeper.ml	454	dashboard	active	dashboard_core	no	0
dashboard_http_mdal.ml	213	dashboard	active	dashboard_core	no	0
dashboard_http_monitoring.ml	321	dashboard	active	dashboard_core	no	0
dashboard_labels.ml	171	dashboard	active	dashboard_core	no	2
dashboard_mission_assembly.ml	888	dashboard	archive	dashboard_heavy_render	no	1
dashboard_mission_briefing.ml	865	dashboard	archive	dashboard_heavy_render	no	1
dashboard_mission.ml	828	dashboard	active	dashboard_core	no	2
dashboard_operator_judge.ml	363	dashboard	archive	dashboard_governance	no	2
dashboard_proof_helpers.ml	84	dashboard	archive	dashboard_heavy_render	no	0
dashboard_proof.ml	906	dashboard	archive	dashboard_heavy_render	no	2
dashboard_semantics.ml	528	dashboard	active	dashboard_core	no	1
dashboard_utils.ml	98	dashboard	active	dashboard_core	no	14
dashboard.ml	601	infrastructure	active	referenced_infra	no	5
debate.ml	369	infrastructure	archive	unreferenced_infra	no	0
drift_guard.ml	300	infrastructure	active	referenced_infra	no	3
eio_context.ml	110	infrastructure	active	referenced_infra	no	24
encryption.ml	213	infrastructure	active	referenced_infra	no	1
env_config_core.ml	154	config	active	types_or_config	no	2
env_config_governance.ml	324	config	active	types_or_config	no	12
env_config_keeper.ml	225	config	active	types_or_config	no	1
env_config_runtime.ml	298	config	active	types_or_config	no	15
env_config.ml	69	config	active	types_or_config	no	77
