file,line,symbol,rhs,triage_class_guess,review_priority
lib/core/json_util.ml,243,assoc_float_opt,None,parser_absent,low
lib/core/json_util.ml,258,find_assoc_row_by_string_field,None,option_absent,low
lib/core/safe_ops.ml,484,parse_bool_string,None,parser_absent,low
lib/core/safe_ops.ml,573,json_string_opt,None,parser_absent,low
lib/core/safe_ops.ml,593,json_int_opt,None,parser_absent,low
lib/core/safe_ops.ml,600,json_float_opt,None,parser_absent,low
lib/core/safe_ops.ml,606,json_bool_opt,None,parser_absent,low
lib/core/safe_ops.ml,616,json_list_opt,None,parser_absent,low
lib/core/string_util.ml,106,is_ascii_space,false,rejecter_safe,low
lib/cost_ledger/cost_ledger.ml,93,required_finite_float,None,option_absent,low
lib/dashboard/dashboard.ml,84,scope_of_string_opt,None,parser_absent,low
lib/dashboard/dashboard_briefing_assembly.ml,134,build_keeper_briefs,None,option_absent,low
lib/dashboard/dashboard_cache.ml,112,timeout_circuit_is_open,false,rejecter_safe,low
lib/dashboard/dashboard_cache.ml,129,record_timeout_circuit,false,predicate_unclassified,medium
lib/dashboard/dashboard_cache.ml,174,is_compute_timeout,false,rejecter_safe,low
lib/dashboard/dashboard_cache.ml,180,should_restore_stale_after_failure,false,rejecter_safe,low
lib/dashboard/dashboard_cache.ml,576,peek,None,option_absent,low
lib/dashboard/dashboard_execution.ml,390,trust_disposition_requires_attention,false,predicate_unclassified,medium
lib/dashboard/dashboard_execution_builders.ml,213,continuity_row_of_keeper,None,option_absent,low
lib/dashboard/dashboard_goals_types_accessor.ml,85,receipt_error_kind,None,option_absent,low
lib/dashboard/dashboard_goals_types_accessor.ml,90,receipt_error_message,None,option_absent,low
lib/dashboard/dashboard_goals_types_accessor.ml,120,trust_latest_event,None,option_absent,low
lib/dashboard/dashboard_goals_types_attainment.ml,34,metric_evaluation_of_string,None,parser_absent,low
lib/dashboard/dashboard_goals_types_attainment.ml,65,parse_first_float,false,predicate_unclassified,medium
lib/dashboard/dashboard_goals_types_attainment.ml,69,parse_first_float,false,predicate_unclassified,medium
lib/dashboard/dashboard_goals_types_attainment.ml,78,parse_first_float,false,predicate_unclassified,medium
lib/dashboard/dashboard_http_keeper.ml,230,unresolved_pending_approval,false,predicate_unclassified,medium
lib/dashboard/dashboard_http_keeper_detail.ml,40,string_list_member_opt,None,parser_absent,low
lib/dashboard/dashboard_http_keeper_detail.ml,43,string_list_member_opt,None,parser_absent,low
lib/dashboard/dashboard_http_keeper_detail.ml,138,compute_metrics_window,None,option_absent,low
lib/dashboard/dashboard_http_keeper_detail.ml,145,compute_metrics_window,None,option_absent,low
lib/dashboard/dashboard_http_keeper_feeds.ml,87,keeper_cost_aggregates_json,(),noop_side_effect,low
lib/dashboard/dashboard_http_keeper_feeds.ml,203,keeper_decisions_json,None,option_absent,low
lib/dashboard/dashboard_http_keeper_feeds.ml,226,keeper_decisions_json,None,option_absent,low
lib/dashboard/dashboard_http_keeper_feeds.ml,399,parse_decision_event,None,parser_absent,low
lib/dashboard/dashboard_http_tool_quality.ml,25,classify_process_status,None,option_absent,low
lib/dashboard/dashboard_http_tool_quality.ml,27,classify_process_status,None,option_absent,low
lib/dashboard/dashboard_http_tool_quality.ml,73,bool_field_opt,None,parser_absent,low
lib/dashboard/dashboard_http_tool_quality.ml,254,aggregate,false,predicate_unclassified,medium
lib/dashboard/dashboard_keeper_decision_log_proof.ml,160,has_persistent_turn_span,false,rejecter_safe,low
lib/dashboard/dashboard_verification.ml,93,next_action_of_output,None,option_absent,low
lib/dashboard/dashboard_workspace.ml,20,is_space,false,rejecter_safe,low
lib/dashboard/dashboard_workspace.ml,45,is_mention_punct,false,rejecter_safe,low
lib/dashboard/operator_digest_types.ml,14,operator_severity_of_string_opt,None,parser_absent,low
